Name,Timestamp,Camera ID,Confidence
STF-013,2026-02-24T19:12:07.955803,pi_zero_2,0.582790035808335
STF-013,2026-02-24T19:10:44.960872,pi_zero_2,0.6617922969544303
STF-013,2026-02-24T19:08:49.675207,pi_zero_2,0.6014577214631025
STF-013,2026-02-24T18:51:15.392892,pi_zero_2,0.6314970141215563
STF-012,2026-02-24T18:31:05.394381,pi_zero_2,0.5204463624344458
STF-012,2026-02-24T18:13:10.157955,pi_zero_2,0.5419166133312079
STF-010,2026-02-24T18:12:30.692495,pi_zero_2,0.5313396317788146
STF-012,2026-02-24T18:10:05.309429,pi_zero_2,0.6046133997008551
STF-012,2026-02-24T17:23:31.380849,pi_zero_2,0.5042135421580023
STF-012,2026-02-24T17:05:12.564952,pi_zero_2,0.5322178153911887
